,3/16/2016,0,1,0.33060551,0.04701794,0.01374853,0.00382012,0.00119691,0.00040254,1,2641,Texas Tech,81.27,Midwest,8
,3/16/2016,1,1,0.3378623,0.08047189,0.02693656,0.00502492,0.001283,0.00034502,1,130,Michigan,80.31,East,11a
,3/16/2016,0,1,0.37799129,0.02758362,0.00618629,0.00185258,0.00053992,0.00016359,1,30,Southern California,81.4,East,8
,3/16/2016,0,1,0.1580884,0.04770128,0.00826443,0.00191855,0.00048303,0.0001338,1,2031,Arkansas-Little Rock,78.9,Midwest,12
,3/16/2016,0,1,0.20535771,0.06688261,0.00813068,0.00171587,0.00048785,0.00010866,1,2571,South Dakota State,78.64,South,12
,3/16/2016,0,1,0.27805979,0.04054921,0.00916799,0.00161532,0.00043474,9.17E-05,1,218,Temple,78.48,South,10
,3/16/2016,0,1,0.15402084,0.04699842,0.01006006,0.00218584,0.00036376,7.29E-05,1,350,North Carolina-Wilmington,77.72,West,13
,3/16/2016,0,1,0.26556296,0.02682859,0.00814584,0.00234177,0.00033765,5.93E-05,1,204,Oregon State,77.63,West,7
,3/16/2016,0,1,0.15929771,0.03193922,0.0050085,0.00106553,0.00021057,4.69E-05,1,314,Iona,78.22,Midwest,13
,3/16/2016,0,1,0.11768487,0.02813062,0.00456128,0.00099935,0.00013941,2.38E-05,1,2739,Green Bay,76.18,West,14
,3/16/2016,0,1,0.07469338,0.01518218,0.00198296,0.00055142,9.86E-05,1.92E-05,1,2619,Stony Brook,77.09,East,13
,3/16/2016,0,1,0.12316657,0.01629048,0.00164411,0.00036721,7.22E-05,1.53E-05,1,236,Chattanooga,76.6,East,12
,3/16/2016,0,1,0.16558984,0.0385179,0.00296445,0.00041125,8.88E-05,1.51E-05,1,62,Hawaii,78.02,South,13
,3/16/2016,0,1,0.12990083,0.027687,0.00311017,0.00039728,6.53E-05,1.23E-05,1,278,Fresno State,76.61,Midwest,14
,3/16/2016,0,1,0.14235571,0.01932585,0.00266239,0.00035326,7.24E-05,1.16E-05,1,2084,Buffalo,75.66,South,14
,3/16/2016,0,1,0.04141681,0.01194585,0.00320875,0.00082202,8.69E-05,1.14E-05,1,2934,Cal State Bakersfield,74.97,West,15
,3/16/2016,0,1,0.0514809,0.01348492,0.00288726,0.00036377,5.34E-05,9.07E-06,1,2393,Middle Tennessee,75.02,Midwest,15
,3/16/2016,0,1,0.03706028,0.00711099,0.00103846,0.00012073,2.19E-05,3.12E-06,1,2427,North Carolina-Asheville,74.17,South,15
,3/16/2016,0,1,0.05872659,0.00801166,0.00082179,5.07E-05,6.02E-06,8.00E-07,1,2692,Weber State,73.28,East,15
,3/16/2016,1,1,0.01531972,0.00330268,0.00027874,3.48E-05,4.07E-06,5.30E-07,1,526,Florida Gulf Coast,72.94,East,16a
,3/16/2016,0,1,0.00972934,0.00089393,0.00010013,6.87E-06,6.30E-07,5.00E-08,1,2046,Austin Peay,68.83,South,16
,3/16/2016,0,1,0.01742235,0.00193607,0.00010849,6.24E-06,3.50E-07,2.00E-08,1,2261,Hampton,68.61,Midwest,16
,3/16/2016,1,1,0.01913599,0.00147852,0.00010105,5.69E-06,2.40E-07,1.00E-08,1,107,Holy Cross,67.61,West,16a
